Data;Ora solare;Livello Punta Salute (cm)
1-feb-98;5.00;30
1-feb-98;6.00;16
1-feb-98;7.00;8
1-feb-98;8.00;9
1-feb-98;9.00;17
1-feb-98;10.00;31
1-feb-98;11.00;47
1-feb-98;12.00;59
1-feb-98;13.00;65
1-feb-98;14.00;63
1-feb-98;15.00;52
1-feb-98;16.00;35
1-feb-98;17.00;16
1-feb-98;18.00;3
1-feb-98;19.00;-7
1-feb-98;20.00;-8
1-feb-98;21.00;-5
1-feb-98;22.00;8
1-feb-98;23.00;23
2-feb-98;0.00;35
2-feb-98;1.00;43
2-feb-98;2.00;48
2-feb-98;3.00;47
2-feb-98;4.00;38
2-feb-98;5.00;26
2-feb-98;6.00;16
2-feb-98;7.00;8
2-feb-98;8.00;4
2-feb-98;9.00;8
2-feb-98;10.00;17
2-feb-98;11.00;30
2-feb-98;12.00;40
2-feb-98;13.00;48
2-feb-98;14.00;52
2-feb-98;15.00;48
2-feb-98;16.00;36
2-feb-98;17.00;23
2-feb-98;18.00;8
2-feb-98;19.00;-4
2-feb-98;20.00;-8
2-feb-98;21.00;-6
2-feb-98;22.00;3
2-feb-98;23.00;15
3-feb-98;0.00;30
3-feb-98;1.00;43
3-feb-98;2.00;52
3-feb-98;3.00;59
3-feb-98;4.00;61
3-feb-98;5.00;55
3-feb-98;6.00;43
3-feb-98;7.00;33
3-feb-98;8.00;24
3-feb-98;9.00;16
3-feb-98;10.00;14
3-feb-98;11.00;19
3-feb-98;12.00;27
3-feb-98;13.00;35
3-feb-98;14.00;39
3-feb-98;15.00;36
3-feb-98;16.00;28
3-feb-98;17.00;19
3-feb-98;18.00;9
3-feb-98;19.00;1
3-feb-98;20.00;-1
3-feb-98;21.00;0
3-feb-98;22.00;9
3-feb-98;23.00;20
4-feb-98;0.00;31
4-feb-98;1.00;43
4-feb-98;2.00;55
4-feb-98;3.00;63
4-feb-98;4.00;70
4-feb-98;5.00;72
4-feb-98;6.00;70
4-feb-98;7.00;60
