Data;Ora solare;Livello Punta Salute (cm);;;
27-gen-99;14.00;-25;;;
27-gen-99;15.00;-21;;;
27-gen-99;16.00;-13;;;
27-gen-99;17.00;-1;;;
27-gen-99;18.00;14;;;
27-gen-99;19.00;23;;;
27-gen-99;20.00;28;;;
27-gen-99;21.00;28;;;
27-gen-99;22.00;23;;;
27-gen-99;23.00;16;;;
27-gen-99;0.00;8;;;
28-gen-99;1.00;0;;;
28-gen-99;2.00;-1;;;
28-gen-99;3.00;1;;;
28-gen-99;4.00;9;;;
28-gen-99;5.00;19;;;
28-gen-99;6.00;30;;;
28-gen-99;7.00;38;;;
28-gen-99;8.00;42;;;
28-gen-99;9.00;43;;;
28-gen-99;10.00;33;;;
28-gen-99;11.00;19;;;
28-gen-99;12.00;3;;;
28-gen-99;13.00;-12;;;
28-gen-99;14.00;-24;;;
28-gen-99;15.00;-29;;;
28-gen-99;16.00;-26;;;
28-gen-99;17.00;-12;;;
28-gen-99;18.00;4;;;
28-gen-99;19.00;23;;;
28-gen-99;20.00;40;;;
28-gen-99;21.00;52;;;
28-gen-99;22.00;56;;;
28-gen-99;23.00;50;;;
28-gen-99;0.00;35;;;
29-gen-99;1.00;20;;;
29-gen-99;2.00;7;;;
29-gen-99;3.00;2;;;
29-gen-99;4.00;8;;;
29-gen-99;5.00;23;;;
29-gen-99;6.00;39;;;
29-gen-99;7.00;54;;;
29-gen-99;8.00;62;;;
29-gen-99;9.00;62;;;
29-gen-99;10.00;55;;;
29-gen-99;11.00;38;;;
29-gen-99;12.00;19;;;
29-gen-99;13.00;-3;;;
29-gen-99;14.00;-24;;;
29-gen-99;15.00;-39;;;
29-gen-99;16.00;-44;;;
29-gen-99;17.00;-37;;;
29-gen-99;18.00;-20;;;
29-gen-99;19.00;0;;;
29-gen-99;20.00;16;;;
29-gen-99;21.00;31;;;
29-gen-99;22.00;39;;;
29-gen-99;23.00;39;;;
29-gen-99;0.00;28;;;
30-gen-99;1.00;16;;;
30-gen-99;2.00;3;;;
30-gen-99;3.00;-10;;;
30-gen-99;4.00;-13;;;
30-gen-99;5.00;-5;;;
30-gen-99;6.00;7;;;
30-gen-99;7.00;23;;;
30-gen-99;8.00;38;;;
30-gen-99;9.00;43;;;
30-gen-99;10.00;41;;;
30-gen-99;11.00;29;;;
30-gen-99;12.00;10;;;
30-gen-99;13.00;-9;;;
30-gen-99;14.00;-26;;;
30-gen-99;15.00;-39;;;
30-gen-99;16.00;-44;;;
30-gen-99;17.00;-36;;;
30-gen-99;18.00;-20;;;
30-gen-99;19.00;0;;;
30-gen-99;20.00;19;;;
30-gen-99;21.00;36;;;
30-gen-99;22.00;52;;;
30-gen-99;23.00;55;;;
30-gen-99;0.00;48;;;
31-gen-99;1.00;36;;;
31-gen-99;2.00;20;;;
31-gen-99;3.00;4;;;
31-gen-99;4.00;-5;;;
31-gen-99;5.00;-5;;;
31-gen-99;6.00;5;;;
31-gen-99;7.00;19;;;
31-gen-99;8.00;32;;;
31-gen-99;9.00;46;;;
31-gen-99;10.00;51;;;
31-gen-99;11.00;51;;;
31-gen-99;12.00;39;;;
31-gen-99;13.00;22;;;
31-gen-99;14.00;3;;;
31-gen-99;15.00;-17;;;
31-gen-99;16.00;-33;;;
31-gen-99;17.00;-42;;;
31-gen-99;18.00;-40;;;
31-gen-99;19.00;-23;;;
31-gen-99;20.00;0;;;
31-gen-99;21.00;20;;;
31-gen-99;22.00;33;;;
31-gen-99;23.00;43;;;
31-gen-99;0.00;48;;;
1-feb-99;1.00;40;;;
1-feb-99;2.00;26;;;
1-feb-99;3.00;11;;;
1-feb-99;4.00;-1;;;
1-feb-99;5.00;-8;;;
1-feb-99;6.00;-5;;;
1-feb-99;7.00;4;;;
1-feb-99;8.00;19;;;
1-feb-99;9.00;35;;;
1-feb-99;10.00;48;;;
1-feb-99;11.00;59;;;
1-feb-99;12.00;60;;;
1-feb-99;13.00;46;;;
1-feb-99;14.00;25;;;
1-feb-99;15.00;0;;;
1-feb-99;16.00;-24;;;
1-feb-99;17.00;-42;;;
1-feb-99;18.00;-48;;;
1-feb-99;19.00;-42;;;
1-feb-99;20.00;-25;;;
1-feb-99;21.00;-1;;;
1-feb-99;22.00;22;;;
1-feb-99;23.00;38;;;
1-feb-99;0.00;46;;;
2-feb-99;1.00;41;;;
2-feb-99;2.00;27;;;
2-feb-99;3.00;9;;;
2-feb-99;4.00;-8;;;
2-feb-99;5.00;-19;;;
2-feb-99;6.00;-21;;;
2-feb-99;7.00;-12;;;
2-feb-99;8.00;6;;;
2-feb-99;9.00;27;;;
2-feb-99;10.00;46;;;
2-feb-99;11.00;57;;;
2-feb-99;12.00;60;;;
2-feb-99;13.00;48;;;
2-feb-99;14.00;31;;;
2-feb-99;15.00;7;;;
2-feb-99;16.00;-17;;;
2-feb-99;17.00;-37;;;
2-feb-99;18.00;-48;;;
2-feb-99;19.00;-44;;;
2-feb-99;20.00;-28;;;
2-feb-99;21.00;-5;;;
2-feb-99;22.00;18;;;
2-feb-99;23.00;34;;;
2-feb-99;0.00;43;;;
3-feb-99;1.00;46;;;
3-feb-99;2.00;35;;;
3-feb-99;3.00;19;;;
3-feb-99;4.00;2;;;
3-feb-99;5.00;-10;;;
3-feb-99;6.00;-16;;;
3-feb-99;7.00;-12;;;
3-feb-99;8.00;0;;;
3-feb-99;9.00;16;;;
3-feb-99;10.00;31;;;
3-feb-99;11.00;43;;;
3-feb-99;12.00;46;;;
3-feb-99;13.00;39;;;
3-feb-99;14.00;22;;;
3-feb-99;15.00;1;;;
3-feb-99;16.00;-21;;;
3-feb-99;17.00;-40;;;
3-feb-99;18.00;-50;;;
3-feb-99;19.00;-52;;;
3-feb-99;20.00;-37;;;
3-feb-99;21.00;-14;;;
3-feb-99;22.00;8;;;
3-feb-99;23.00;25;;;
3-feb-99;0.00;38;;;
4-feb-99;1.00;43;;;
4-feb-99;2.00;40;;;
4-feb-99;3.00;30;;;
4-feb-99;4.00;14;;;
4-feb-99;5.00;-1;;;
4-feb-99;6.00;-8;;;
4-feb-99;7.00;-10;;;
4-feb-99;8.00;-1;;;
4-feb-99;9.00;9;;;
4-feb-99;10.00;23;;;
4-feb-99;11.00;31;;;
4-feb-99;12.00;36;;;
4-feb-99;13.00;30;;;
4-feb-99;14.00;16;;;
4-feb-99;15.00;2;;;
4-feb-99;16.00;-16;;;
4-feb-99;17.00;-32;;;
4-feb-99;18.00;-40;;;
4-feb-99;19.00;-44;;;
4-feb-99;20.00;-37;;;
4-feb-99;21.00;-21;;;
4-feb-99;22.00;-2;;;
4-feb-99;23.00;16;;;
4-feb-99;0.00;32;;;
5-feb-99;1.00;46;;;
5-feb-99;2.00;51;;;
5-feb-99;3.00;46;;;
5-feb-99;4.00;32;;;
5-feb-99;5.00;19;;;
5-feb-99;6.00;6;;;
5-feb-99;7.00;-1;;;
5-feb-99;8.00;-1;;;
5-feb-99;9.00;8;;;
5-feb-99;10.00;20;;;
5-feb-99;11.00;33;;;
